tag,beta,epsilon,N,T,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
eps_sweep,0,0.05,100,4000,0.3,18,0.07417820731635252,0.7501901526860654,0.10725,0.20198295151895201,10
eps_sweep,0,0.05,100,4000,0.3,19,0.07816360876059668,0.7454496806726514,0.119,0.20421836210544222,12
eps_sweep,0,0.05,100,4000,0.3,20,0.07978938698183986,0.7396645686166311,0.1105,0.19313844984644749,13
eps_sweep,0,0.05,100,4000,0.3,21,0.06681415028704275,0.756970510540207,0.10075,0.1980297742489295,13
eps_sweep,0,0.05,100,4000,0.3,22,0.08514853889044513,0.7341917537237858,0.10925,0.2107846209657226,14
eps_sweep,0,0.05,100,4000,0.3,23,0.07969759443023984,0.7380889049079515,0.10375,0.21157844030747106,11
eps_sweep,0,0.05,100,4000,0.3,24,0.08546293813067168,0.7348122107934653,0.09525,0.21002429572376505,13
eps_sweep,0,0.05,100,4000,0.3,25,0.08525187955157222,0.7367616086773796,0.10575,0.20525818132600873,12
eps_sweep,0,0.05,100,4000,0.3,26,0.10678471030616528,0.7136499200210119,0.10575,0.22021402631196613,14
eps_sweep,0,0.05,100,4000,0.3,27,0.08560880938371537,0.7339152093298751,0.095,0.20872172950322235,12
eps_sweep,0,0.05,100,4000,0.3,28,0.0787999422937215,0.7385079369035263,0.096,0.2048264563994836,12
eps_sweep,0,0.05,100,4000,0.3,29,0.08308062303158593,0.737367715666869,0.10025,0.20696791545475343,13
eps_sweep,0,0.1,100,4000,0.3,0,0.08310558428736059,0.742631414988507,0.24325,0.2523790630335711,4
eps_sweep,0,0.1,100,4000,0.3,1,0.07750990683187615,0.7465441413310944,0.184,0.20100383362057675,6
eps_sweep,0,0.1,100,4000,0.3,2,0.08167565408619953,0.7408797372337532,0.24775,0.2416334168350357,4
eps_sweep,0,0.1,100,4000,0.3,3,0.08618319078200117,0.7292689373106699,0.1895,0.21456130532047327,6
eps_sweep,0,0.1,100,4000,0.3,4,0.0988897682614717,0.7232726019247169,0.20775,0.22387784903229355,8
eps_sweep,0,0.1,100,4000,0.3,5,0.07297766598700296,0.7481893699115642,0.18975,0.20823319855249245,7
eps_sweep,0,0.1,100,4000,0.3,6,0.06931585031285767,0.7555314764063981,0.2,0.20076182598371736,8
eps_sweep,0,0.1,100,4000,0.3,7,0.08279330740785205,0.7386853309203285,0.2275,0.21593816249902506,4
eps_sweep,0,0.1,100,4000,0.3,8,0.08747164559254557,0.7330995703368811,0.2065,0.21402444296760126,6
eps_sweep,0,0.1,100,4000,0.3,9,0.07572586474478625,0.7457038571841625,0.20775,0.21076212953906504,5
eps_sweep,0,0.1,100,4000,0.3,10,0.07915620112144672,0.7402596356634796,0.194,0.21880659614874906,5
eps_sweep,0,0.1,100,4000,0.3,11,0.06829846607038424,0.7530478237128463,0.22975,0.2031582282665355,6
eps_sweep,0,0.1,100,4000,0.3,12,0.07045013333252659,0.7558295906068365,0.21525,0.20865099978288965,6
eps_sweep,0,0.1,100,4000,0.3,13,0.08457264331942654,0.7375471881051765,0.233,0.2199147967540579,7
eps_sweep,0,0.1,100,4000,0.3,14,0.07262316134536337,0.7416158687277481,0.19775,0.20240395601417466,10
eps_sweep,0,0.1,100,4000,0.3,15,0.08021398932738387,0.7451332452993824,0.2135,0.21581876927746094,7
eps_sweep,0,0.1,100,4000,0.3,16,0.08034059074388546,0.740690383444833,0.205,0.21018775823187957,5
eps_sweep,0,0.1,100,4000,0.3,17,0.07720194408024036,0.743787039238821,0.20025,0.21139227477941488,7
eps_sweep,0,0.1,100,4000,0.3,18,0.07766358797553118,0.7427995030631324,0.19775,0.20421120487840425,8
eps_sweep,0,0.1,100,4000,0.3,19,0.072816408937487,0.7516451592543306,0.2285,0.2134542209269699,5
eps_sweep,0,0.1,100,4000,0.3,20,0.0855309819210014,0.7329496335840112,0.18025,0.21263066302747863,6
eps_sweep,0,0.1,100,4000,0.3,21,0.07773377249544425,0.7438788260244289,0.207,0.21191048374419977,6
eps_sweep,0,0.1,100,4000,0.3,22,0.07426522999423335,0.7480387471160597,0.212,0.19799397645298322,6
eps_sweep,0,0.1,100,4000,0.3,23,0.06536155839210943,0.7637374085373313,0.259,0.24239038926972062,8
